CustomerKey,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
11000,238,2,4656.3896,2,4,5,11,At Risk
11001,18,2,2821.2122,5,4,5,14,Champions
11002,307,2,4466.812400000001,1,4,5,10,At Risk
11003,231,2,4532.9866,2,4,5,11,At Risk
11004,240,2,4568.0838,2,4,5,11,At Risk
11005,239,2,4502.7596,2,4,5,11,At Risk
11007,283,2,4590.742399999999,1,4,5,10,At Risk
11008,300,2,4502.6982,1,4,5,10,At Risk
11009,232,2,4471.392400000001,2,4,5,11,At Risk
11010,218,2,4459.1008,2,4,5,11,At Risk
11011,283,2,4487.1582,1,4,5,10,At Risk
11012,74,2,91.1842,4,4,2,10,Potential Loyalists
11013,258,1,41.6242,1,1,1,3,Lost Customers
11014,241,2,190.8927,2,4,3,9,At Risk
11015,343,1,2274.3796,1,1,4,6,Can't Lose Them
11016,321,1,2088.6782,1,1,4,6,Can't Lose Them
11017,75,2,2835.4082,4,4,5,13,Champions
11018,65,2,2919.3338000000003,4,4,5,13,Champions
11019,18,15,961.9158,5,5,3,13,Loyal Customers
11020,363,1,2093.0582,1,1,4,6,Can't Lose Them
11021,338,1,2148.0481999999997,1,1,4,6,Can't Lose Them
11022,341,1,2073.7096,1,1,4,6,Can't Lose Them
11023,313,1,142.93,1,1,3,5,Can't Lose Them
11024,154,2,78.02000000000001,3,4,2,9,Potential Loyalists
11025,64,2,2975.2196000000004,4,4,5,13,Champions
11026,74,2,2988.8058,4,4,5,13,Champions
11027,65,2,2998.9008,4,4,5,13,Champions
11028,82,2,2853.3496,4,4,5,13,Champions
11029,47,2,2929.3638000000005,5,4,5,14,Champions
11030,49,2,2831.058,5,4,5,14,Champions
11031,45,2,2839.0296000000003,5,4,5,14,Champions
11032,50,2,2954.5380000000005,5,4,5,14,Champions
11033,53,2,2892.6622,4,4,5,13,Champions
11034,48,2,2845.4382,5,4,5,14,Champions
11035,43,2,2832.7396000000003,5,4,5,14,Champions
11036,339,1,2105.0638000000004,1,1,4,6,Can't Lose Them
11037,341,1,2182.2781999999997,1,1,4,6,Can't Lose Them
11038,46,2,2813.7696,5,4,5,14,Champions
11039,47,2,3040.8864,5,4,5,14,Champions
11040,268,1,2133.3596000000002,1,1,4,6,Can't Lose Them
11041,347,1,2134.5782,1,1,4,6,Can't Lose Them
11042,72,2,2861.8369000000002,4,4,5,13,Champions
11043,131,2,60.2684,3,4,2,9,Potential Loyalists
11044,50,2,2908.3982,5,4,5,14,Champions
11045,60,2,141.6715,4,4,3,11,Loyal Customers
11046,46,2,3015.8558000000003,5,4,5,14,Champions
11047,39,2,2933.7696,5,4,5,14,Champions
11048,3,2,2908.5865999999996,5,4,5,14,Champions
11049,60,2,96.52000000000001,4,4,2,10,Potential Loyalists
11050,39,2,1652.9442,5,4,4,13,Champions
11052,214,2,4519.0724,2,4,5,11,At Risk
11053,344,1,2082.7424,1,1,4,6,Can't Lose Them
11054,211,2,4577.138199999999,2,4,5,11,At Risk
11055,203,2,4557.0838,2,4,5,11,At Risk
11056,210,2,4596.6319,2,4,5,11,At Risk
11057,220,2,4464.479600000001,2,4,5,11,At Risk
11058,206,2,4598.113800000001,2,4,5,11,At Risk
11059,286,3,179.1784,1,5,3,9,At Risk
11060,185,2,4523.4296,2,4,5,11,At Risk
11061,196,2,4520.4396,2,4,5,11,At Risk
11062,354,1,2126.7024,1,1,4,6,Can't Lose Them
11063,349,1,2155.3266,1,1,4,6,Can't Lose Them
11064,336,1,2069.0782,1,1,4,6,Can't Lose Them
11065,320,1,198.58,1,1,3,5,Can't Lose Them
11066,100,2,87.1942,4,4,2,10,Potential Loyalists
11067,131,1,10.27,3,1,1,5,Potential Loyalists
11068,81,3,204.83620000000002,4,5,3,12,Loyal Customers
11069,206,2,4455.489600000001,2,4,5,11,At Risk
11070,184,2,4547.1682,2,4,5,11,At Risk
11071,27,3,168.76,5,5,3,13,Loyal Customers
11072,195,2,4581.399600000001,2,4,5,11,At Risk
11073,128,3,231.4568,3,5,3,11,Loyal Customers
11074,214,3,139.1042,2,5,3,10,At Risk
11075,186,2,4470.1182,2,4,5,11,At Risk
11076,189,2,4510.479600000001,2,4,5,11,At Risk
11077,198,2,4545.4696,2,4,5,11,At Risk
11078,3,16,991.2692,5,5,3,13,Loyal Customers
11079,119,2,84.2084,3,4,2,9,Potential Loyalists
11080,187,2,4582.1811,2,4,5,11,At Risk
11081,258,2,116.5484,1,4,2,7,Potential Loyalists
11082,52,2,2896.5144,4,4,5,13,Champions
11083,50,2,2887.4038000000005,5,4,5,14,Champions
11084,37,2,2846.3096,5,4,5,14,Champions
11085,22,1,78.6242,5,1,2,8,New Customers
11086,7,2,185.7577,5,4,3,12,Loyal Customers
11087,140,2,206.56,3,4,3,10,Loyal Customers
11089,40,2,2968.7438999999995,5,4,5,14,Champions
11090,37,3,6497.737,5,5,5,15,Champions
11091,7,26,1513.1358,5,5,4,14,Champions
11092,189,2,4517.4296,2,4,5,11,At Risk
11093,202,2,4572.7324,2,4,5,11,At Risk
11094,128,2,198.82,3,4,3,10,Loyal Customers
11095,185,2,4550.7624,2,4,5,11,At Risk
11096,150,2,4441.812400000001,3,4,5,12,Loyal Customers
11097,156,2,4488.138199999999,3,4,5,12,Loyal Customers
11098,73,3,148.92,4,5,3,12,Loyal Customers
11099,179,2,4595.0682,3,4,5,12,Loyal Customers
11100,142,2,4585.5358,3,4,5,12,Loyal Customers
11101,181,2,4674.0939,2,4,5,11,At Risk
11102,19,3,150.82999999999998,5,5,3,13,Loyal Customers
11103,204,2,4599.2044000000005,2,4,5,11,At Risk
11104,195,2,4537.128199999999,2,4,5,11,At Risk
11105,205,2,4458.0581999999995,2,4,5,11,At Risk
11106,195,2,4433.1682,2,4,5,11,At Risk
11107,189,2,4588.718000000001,2,4,5,11,At Risk
11108,187,2,4501.812400000001,2,4,5,11,At Risk
11109,186,2,4659.3966,2,4,5,11,At Risk
11110,129,2,4456.138199999999,3,4,5,12,Loyal Customers
11111,127,2,4544.722400000001,3,4,5,12,Loyal Customers
11112,117,2,4693.4396,3,4,5,12,Loyal Customers
11113,250,3,161.4442,2,5,3,10,At Risk
11114,2,3,170.8,5,5,3,13,Loyal Customers
11115,6,2,70.46,5,4,2,11,Potential Loyalists
11116,73,3,158.94,4,5,3,12,Loyal Customers
11117,185,2,4571.698,2,4,5,11,At Risk
11118,48,2,196.7,5,4,3,12,Loyal Customers
11119,35,2,126.4773,5,4,3,12,Loyal Customers
11121,54,3,88.37,4,5,2,11,Potential Loyalists
11122,127,3,85.85999999999999,3,5,2,10,Potential Loyalists
11123,74,2,99.71000000000001,4,4,2,10,Potential Loyalists
11124,192,2,4496.7724,2,4,5,11,At Risk
11125,177,3,141.8981,3,5,3,11,Loyal Customers
